mpid_twfy,mpid_grdn,mpname,mpparty,mpconstituency,constid_grdn,mpyearentered,percvote,winmajor,nextparty,nextpartyrank
11588,5911,Mark Harper,Conservative,Forest of Dean,946,2005,46.9,11064,Labour,29
24816,11806,Liz Kendall,Labour,Leicester West,1075,2010,38.4,4017,Liberal Democrat,234
24817,9367,George Freeman,Conservative,Mid Norfolk,1123,2010,49.5,13856,Labour,80
11719,9295,David Davies,Conservative,Monmouth,1137,2005,48.3,10425,Labour,45
24818,11834,Catherine McKinnell,Labour,Newcastle upon Tyne North,1155,2010,40.9,3414,Liberal Democrat,90
11963,8650,Katy Clark,Labour,North Ayrshire and Arran,860,2005,47.4,9895,Liberal Democrat,74
24819,9044,Ian Swales,Liberal Democrat,Redcar,1239,2010,45.2,5214,Conservative,237
11817,5880,Daniel Kawczynski,Conservative,Shrewsbury and Atcham,1286,2005,44,7944,Labour,25
10265,2309,John Hayes,Conservative,South Holland and The Deepings,1302,1997,59.1,21880,Labour,223
10619,5367,Joan Walley,Labour,Stoke-on-Trent North,1338,1987,44.3,8235,Liberal Democrat,367
10574,5038,Jack Straw,Labour,Blackburn,728,1979,47.8,9856,Liberal Democrat,79
10613,5291,Andrew Tyrie,Conservative,Chichester,815,1997,55.3,15877,Liberal Democrat,129
10070,662,Russell Brown,Labour,Dumfries and Galloway,952,1997,45.9,7449,Conservative,55
24820,12633,David Rutley,Conservative,Macclesfield,1104,2010,47,11959,Labour,123
24821,5804,Pauline Latham,Conservative,Mid Derbyshire,1488,2010,48.3,11292,Labour,57
10580,5075,Desmond Swayne,Conservative,New Forest West,1149,1997,58.8,16896,Labour,187
11759,6059,Stewart Jackson,Conservative,Peterborough,1221,2005,40.4,4861,Labour,43
24822,12770,Nadhim Zahawi,Conservative,Stratford-on-Avon,1343,2010,51.6,11346,Liberal Democrat,197
10119,1003,Geoffrey Clifton-Brown,Conservative,The Cotswolds,845,1992,53,12864,Liberal Democrat,151
10558,4912,John Spellar,Labour,Warley,1403,1982,52.9,10756,Conservative,336
24824,9418,Mark Garnier,Conservative,Wyre Forest,1460,2010,36.9,2643,Labour,38
24825,12996,Jack Dromey,Labour,"Birmingham, Erdington",715,2010,41.8,3277,Liberal Democrat,332
24826,5871,Andrew Griffiths,Conservative,Burton,775,2010,44.5,6304,Conservative,44
24827,12588,Jesse Norman,Conservative,Hereford and South Herefordshire,1499,2010,46.2,2481,Conservative,20
24828,5999,Gordon Henderson,Conservative,Sittingbourne and Sheppey,1287,2010,50.1,12383,Labour,1
24829,9271,Andrea Leadsom,Conservative,South Northamptonshire,1515,2010,55.2,20478,Labour,136
10552,4875,Robert Smith,Liberal Democrat,West Aberdeenshire and Kincardine,1417,1997,38.4,3684,Conservative,179
11309,7104,Tom Watson,Labour,West Bromwich East,1418,2001,46.5,6696,Conservative,343
24830,12992,Chris Williamson,Labour,Derby North,870,2010,33,613,Conservative,113
24831,12093,Lisa Nandy,Labour,Wigan,1437,2010,48.5,10487,Liberal Democrat,314
24832,9303,Andrew Percy,Conservative,Brigg and Goole,762,2010,44.9,5147,Conservative,69
11455,8671,Kerry McCarthy,Labour,Bristol East,765,2005,36.6,3722,Conservative,173
10063,562,Tom Brake,Liberal Democrat,Carshalton and Wallington,798,1997,48.3,5260,Conservative,26
24833,12118,Louise Mensch,Conservative,Corby,844,2010,42.2,1895,Conservative,28
10372,3204,Andrew Love,Labour,Edmonton,921,1997,53.7,9613,Conservative,284
10436,3663,Austin Mitchell,Labour,Great Grimsby,979,1977,32.7,714,Liberal Democrat,157
24835,11799,Graham Jones,Labour,Hyndburn,1039,2010,41.1,3090,Conservative,138
11995,9003,Danny Alexander,Liberal Democrat,"Inverness, Nairn, Badenoch and Strathspey",1042,2005,40.7,8765,Labour,44
10240,2037,James Gray,Conservative,North Wiltshire,1191,1997,51.6,7483,Liberal Democrat,71
11742,9314,Brian Binley,Conservative,Northampton South,1193,2005,40.8,6004,Conservative,35
12005,8787,Gordon Banks,Labour,Ochil and South Perthshire,1202,2005,37.9,5187,Scottish National Party,1
24836,12692,Stephen Phillips,Conservative,Sleaford and North Hykeham,1289,2010,51.6,19905,Labour,150
11798,9362,Anne Main,Conservative,St Albans,1324,2005,40.8,2305,Labour,24
10293,2544,Gerald Howarth,Conservative,Aldershot,669,1983,46.7,5586,Liberal Democrat,69
24837,11333,John Woodcock,Labour,Barrow and Furness,690,2010,48.1,5208,Conservative,123
24838,12359,Chris Kelly,Conservative,Dudley South,880,2010,43.1,3856,Conservative,83
10162,1329,David Davis,Conservative,Haltemprice and Howden,991,1987,50.2,11602,Liberal Democrat,34
10170,1410,Jim Dobbin,Labour,Heywood and Middleton,1021,1997,40.1,5971,Liberal Democrat,123
11768,11009,Stephen Crabb,Conservative,Preseli Pembrokeshire,1231,2005,42.8,4605,Labour,14
24839,6060,John Glen,Conservative,Salisbury,1270,2010,49.2,5966,Liberal Democrat,121
24840,6131,Neil Carmichael,Conservative,Stroud,1348,2010,40.8,1299,Conservative,15
10563,4956,John Stanley,Conservative,Tonbridge and Malling,1372,1974,57.9,18178,Liberal Democrat,219
10683,185,Adrian Bailey,Labour,West Bromwich West,1419,2000,45,5651,Conservative,315
10076,725,Richard Burden,Labour,"Birmingham, Northfield",719,1992,40.3,2782,Conservative,200
10521,4570,Bob Russell,Liberal Democrat,Colchester,837,1997,48,6982,Conservative,153
24841,12129,Chris Heaton-Harris,Conservative,Daventry,866,2010,56.5,19188,Labour,160
10074,681,Malcolm Bruce,Liberal Democrat,Gordon,973,1983,36,6748,Scottish National Party,4
11318,5982,Bill Wiggin,Conservative,North Herefordshire,1500,2001,51.8,9887,Liberal Democrat,306
24842,12744,Nicola Blackwood,Conservative,Oxford West and Abingdon,1212,2010,42.3,176,Conservative,132
10682,2357,Mark Hendrick,Labour,Preston,1232,2000,48.2,7733,Liberal Democrat,127
24843,9356,Robert Buckland,Conservative,South Swindon,1308,2010,41.8,3544,Conservative,32
24844,11999,Aidan Burley,Conservative,Cannock Chase,786,2010,40.1,3195,Conservative,210
24845,11463,Toby Perkins,Labour,Chesterfield,814,2010,39,549,Labour,37
11660,4419,Malcolm Rifkind,Conservative,Kensington,1051,2005,50.1,8616,Labour,63
24847,11816,Gavin Shuker,Labour,Luton South,1103,2010,34.9,2329,Conservative,145
24848,13527,Tom Blenkinsop,Labour,Middlesbrough South and East Cleveland,1129,2010,39.3,1677,Conservative,183
24849,12795,Dan Byles,Conservative,North Warwickshire,1185,2010,40.2,54,Conservative,150
24850,13102,Tristram Hunt,Labour,Stoke-on-Trent Central,1337,2010,38.8,5566,Conservative,242
11929,9411,Adam Afriyie,Conservative,Windsor,1440,2005,60.9,19054,Liberal Democrat,174
11943,8871,Barbara Keeley,Labour,Worsley and Eccles South,1544,2005,42.9,4337,Conservative,258
11093,6311,John Mann,Labour,Bassetlaw,693,2001,50.5,8215,Conservative,178
10964,5908,Mark Hoban,Conservative,Fareham,938,2001,55.3,17092,Liberal Democrat,148
24851,8672,Rachel Reeves,Labour,Leeds West,1072,2010,42.3,7016,Conservative,312
10503,4440,Andrew Robathan,Conservative,South Leicestershire,1506,1992,49.5,15524,Labour,76
24852,14237,Valerie Vaz,Labour,Walsall South,1397,2010,39.7,1755,Conservative,206
24853,9349,Julian Sturdy,Conservative,York Outer,1547,2010,43,3688,Conservative,3
10174,10934,Frank Doran,Labour,Aberdeen North,666,1987,44.4,8361,Scottish National Party,2
24854,11987,Sajid Javid,Conservative,Bromsgrove,770,2010,43.7,11308,Labour,127
24857,9400,Fiona Bruce,Conservative,Congleton,841,2010,45.8,7063,Liberal Democrat,43
24858,12352,Simon Reevell,Conservative,Dewsbury,873,2010,35,1526,Conservative,82
24859,11033,Nick de Bois,Conservative,Enfield North,925,2010,42.3,1692,Labour,19
24855,12573,James Morris,Conservative,Halesowen and Rowley Regis,988,2010,41.2,2023,Conservative,93
10362,3130,Peter Lilley,Conservative,Hitchin and Harpenden,1023,1983,54.6,15271,Labour,130
10882,6417,Paul Farrelly,Labour,Newcastle-under-Lyme,1156,2001,38,1552,Conservative,204
24856,6076,Karen Lumley,Conservative,Redditch,1240,2010,43.5,5821,Conservative,47
11389,6189,Maria Miller,Conservative,Basingstoke,692,2005,50.5,13176,Labour,36
10039,379,Joe Benton,Labour,Bootle,741,1990,66.4,21181,UK Independence Party,314
10884,5833,Mark Field,Conservative,Cities of London and Westminster,823,2001,52.2,11076,Labour,137
24863,12124,Gavin Barwell,Conservative,Croydon Central,854,2010,39.5,2969,Conservative,7
11190,5909,Hugh Robertson,Conservative,Faversham and Mid Kent,940,2001,56.2,17088,Labour,126
10450,3768,George Mudie,Labour,Leeds East,1068,1992,50.4,10293,Liberal Democrat,373
10614,5310,Keith Vaz,Labour,Leicester East,1073,1987,53.8,14082,Liberal Democrat,352
10620,5384,Robert Walter,Conservative,North Dorset,1168,1997,51.1,7625,Liberal Democrat,28
10473,4082,Owen Paterson,Conservative,North Shropshire,1179,1997,51.5,15828,Labour,143
11475,6040,Shailesh Vara,Conservative,North West Cambridgeshire,1186,2005,50.5,16677,Liberal Democrat,100
10582,5087,Robert Syms,Conservative,Poole,1227,1997,47.5,7541,Liberal Democrat,61
24864,12753,Stuart Andrew,Conservative,Pudsey,1233,2010,38.5,1659,Conservative,111
10901,6072,Mark Francois,Conservative,Rayleigh and Wickford,1520,2001,57.8,22338,Labour,181
10334,2864,Charles Kennedy,Liberal Democrat,"Ross, Skye and Lochaber",1256,1983,52.6,13070,Scottish Socialist Party,3
24860,12680,Jake Berry,Conservative,Rossendale and Darwen,1257,2010,41.8,4493,Conservative,77
10080,754,Paul Burstow,Liberal Democrat,Sutton and Cheam,1355,1997,45.7,1608,Conservative,59
10182,1521,Angela Eagle,Labour,Wallasey,1394,1992,51.8,8507,Conservative,239
10645,5621,David Winnick,Labour,Walsall North,1396,1966,37,990,Conservative,207
11927,6184,Stephen Hammond,Conservative,Wimbledon,1438,2005,49.1,11408,Labour,34
11936,8868,Pat McFadden,Labour,Wolverhampton South East,1448,2005,47.6,6593,Conservative,367
24862,12581,Robin Walker,Conservative,Worcester,1452,2010,39.5,2982,Conservative,62
24865,6922,Duncan Hames,Liberal Democrat,Chippenham,1484,2010,45.8,2470,Conservative,43
24866,12733,Michael Ellis,Conservative,Northampton North,1192,2010,34.1,1936,Conservative,85
11785,6084,James Duddridge,Conservative,Rochford and Southend East,1251,2005,46.9,11050,Labour,62
10179,1492,Alan Duncan,Conservative,Rutland and Melton,1265,1992,51.1,14000,Liberal Democrat,239
11843,10963,Robert Flello,Labour,Stoke-on-Trent South,1339,2005,38.8,4130,Conservative,223
10505,4463,Laurence Robertson,Conservative,Tewkesbury,1365,1997,47.2,6310,Liberal Democrat,126
24868,12108,Emma Reynolds,Labour,Wolverhampton North East,1447,2010,41.4,2484,Conservative,250
10715,5765,John Baron,Conservative,Basildon and Billericay,1474,2001,52.7,12338,Labour,50
10197,1704,Frank Field,Labour,Birkenhead,713,1979,62.5,15395,Conservative,350
10312,2711,Bernard Jenkin,Conservative,Harwich and North Essex,1498,1992,46.9,11447,Labour,51
10754,6789,Annette Brooke,Liberal Democrat,Mid Dorset and North Poole,1121,2001,45.1,269,Conservative,130
11740,8785,Edward Balls,Labour,Morley and Outwood,1512,2005,37.6,1101,Conservative,208
12016,6888,Mark Hunter,Liberal Democrat,Cheadle,807,2005,47.1,3272,Conservative,67
11573,5897,David Burrowes,Conservative,"Enfield, Southgate",926,2005,49.4,7626,Labour,22
10534,4719,Barry Sheerman,Labour,Huddersfield,1033,1979,38.8,4472,Conservative,186
10381,3824,Siobhain McDonagh,Labour,Mitcham and Morden,1133,1997,56.5,13666,Conservative,339
24870,9309,Justin Tomlinson,Conservative,North Swindon,1181,2010,44.6,7060,Conservative,60
10023,202,Tony Baldry,Conservative,Banbury,683,1983,52.8,18227,Labour,106
10650,5652,Mike Wood,Labour,Batley and Spen,695,1997,42.2,4406,Conservative,135
11408,9133,David Evennett,Conservative,Bexleyheath and Crayford,711,2005,50.5,10344,Labour,56
11420,8896,John Hemming,Liberal Democrat,"Birmingham, Yardley",725,2005,39.6,3002,Labour,40
24871,12008,Tracey Crouch,Conservative,Chatham and Aylesford,806,2010,46.2,6069,Conservative,74
10780,819,Gregory Campbell,DUP,East Londonderry,904,2001,34.6,5355,Sinn Fein,2
24872,11718,Ian Murray,Labour,Edinburgh South,919,2010,34.7,316,Liberal Democrat,5
24873,9334,Caroline Dinenage,Conservative,Gosport,974,2010,51.8,14413,Labour,60
10426,3441,Theresa May,Conservative,Maidenhead,1105,1997,59.5,16769,Liberal Democrat,75
24874,11590,Simon Wright,Liberal Democrat,Norwich South,1196,2010,29.4,310,Liberal Democrat,24
24875,12120,Sheryll Murray,Conservative,South East Cornwall,1299,2010,45.1,3220,Conservative,112
24876,9254,Margot James,Conservative,Stourbridge,1341,2010,42.7,5164,Conservative,25
10029,300,Hugh Bayley,Labour,York Central,1546,1992,40,6451,Liberal Democrat,140
11360,8494,Liam Byrne,Labour,"Birmingham, Hodge Hill",717,2004,52,10302,Liberal Democrat,95
24877,6016,David Nuttall,Conservative,Bury North,776,2010,40.2,2243,Conservative,46
10357,3107,Ivan Lewis,Labour,Bury South,777,1997,40.4,3292,Conservative,225
10221,1879,Edward Garnier,Conservative,Harborough,999,1992,49,9797,Liberal Democrat,26
10578,5048,Andrew Stunell,Liberal Democrat,Hazel Grove,1010,1997,48.8,6371,Conservative,199
11656,7384,Emily Thornberry,Labour,Islington South and Finsbury,1047,2005,42.3,3569,Liberal Democrat,8
10766,10993,Andy Burnham,Labour,Leigh,1076,2001,48,12011,Conservative,301
24878,9343,Nigel Adams,Conservative,Selby and Ainsty,1527,2010,49.4,12265,Labour,30
10009,74,David Amess,Conservative,Southend West,1320,1983,46.1,7270,Labour,84
10075,697,Karen Buck,Labour,Westminster North,1434,1997,43.9,2126,Conservative,61
24879,6099,Brandon Lewis,Conservative,Great Yarmouth,980,2010,43.1,4276,Conservative,66
11647,6326,Diana Johnson,Labour,Kingston upon Hull North,1035,2005,39.2,641,Liberal Democrat,246
10256,2160,Fabian Hamilton,Labour,Leeds North East,1069,1997,42.7,4545,Conservative,152
24880,9321,Mark Pawsey,Conservative,Rugby,1523,2010,44,6000,Conservative,48
10577,5044,Gisela Stuart,Labour,"Birmingham, Edgbaston",714,1997,40.6,1274,Conservative,39
24881,11359,Julie Hilling,Labour,Bolton West,739,2010,38.5,92,Conservative,115
10186,1576,Louise Ellman,Labour,"Liverpool, Riverside",1093,1997,59.3,14173,Liberal Democrat,465
10048,468,Hazel Blears,Labour,Salford and Eccles,1525,1997,40.1,5725,Conservative,305
10575,5040,Gary Streeter,Conservative,South West Devon,1312,1992,56,15874,Liberal Democrat,56
24882,9412,Esther McVey,Conservative,Wirral West,1443,2010,42.5,2436,Labour,13
10133,1116,Jeremy Corbyn,Labour,Islington North,1046,1983,54.5,12401,Liberal Democrat,152
11199,6081,Andrew Rosindell,Conservative,Romford,1252,2001,56,16954,Labour,192
10167,1377,John Denham,Labour,"Southampton, Itchen",1317,1992,36.8,192,Conservative,211
24883,9416,Graham Evans,Conservative,Weaver Vale,1412,2010,38.5,991,Conservative,140
22650,12001,Jonathan Evans,Conservative,Cardiff North,790,1992,37.5,194,Conservative,22
10669,360,Hilary Benn,Labour,Leeds Central,1067,1999,49.3,10645,Conservative,373
10630,5497,Alan Whitehead,Labour,"Southampton, Test",1318,1997,38.5,2413,Liberal Democrat,57
24884,12578,Jonathan Lord,Conservative,Woking,1445,2010,50.3,6807,Liberal Democrat,63
24886,10385,Paul Uppal,Conservative,Wolverhampton South West,1449,2010,40.7,691,Conservative,51
10045,405,Clive Betts,Labour,Sheffield South East,1529,1992,48.7,10505,Conservative,340
10122,1020,Ann Coffey,Labour,Stockport,1334,1992,42.7,6784,Liberal Democrat,167
10499,4356,John Redwood,Conservative,Wokingham,1446,1987,52.7,13492,Liberal Democrat,73
24887,12116,Jason McCartney,Conservative,Colne Valley,840,2010,37,4837,Conservative,21
24888,12762,Stephen McPartland,Conservative,Stevenage,1332,2010,41.4,3578,Conservative,73
24889,12591,Mike Weatherley,Conservative,Hove,1032,2010,36.7,1868,Conservative,10
11898,8855,Mary Creagh,Labour,Wakefield,1393,2005,39.3,1613,Conservative,175
10377,11356,Stephen McCabe,Labour,"Birmingham, Selly Oak",721,1997,38.6,3482,Conservative,169
24891,11984,Charlotte Leslie,Conservative,Bristol North West,766,2010,38,3274,Conservative,54
24892,9001,Julian Huppert,Liberal Democrat,Cambridge,785,2010,39.1,6792,Labour,55
24893,9393,Alec Shelbrooke,Conservative,Elmet and Rothwell,1492,2010,42.6,4521,Conservative,106
10183,1522,Maria Eagle,Labour,Garston and Halewood,1494,1997,59.5,16877,Liberal Democrat,294
11559,12990,Andy Slaughter,Labour,Hammersmith,996,2005,43.9,3549,Conservative,78
10155,1276,Edward Davey,Liberal Democrat,Kingston and Surbiton,1056,1997,49.8,7560,Conservative,180
24895,12742,Jo Johnson,Conservative,Orpington,1210,2010,59.7,17200,Liberal Democrat,36
10050,477,David Blunkett,Labour,"Sheffield, Brightside and Hillsborough",1528,1987,55,13632,UK Independence Party,272
10625,5428,Dave Watts,Labour,St Helens North,1325,1997,51.7,13101,Conservative,274
10651,5668,Shaun Woodward,Labour,St Helens South and Whiston,1533,1997,52.9,14122,Liberal Democrat,259
24896,12054,Kate Green,Labour,Stretford and Urmston,1347,2010,48.6,8935,Conservative,212
24897,12103,Alison McGovern,Labour,Wirral South,1442,2010,40.8,531,Conservative,88
11672,9010,Greg Mulholland,Liberal Democrat,Leeds North West,1070,2005,47.5,9103,Labour,32
24898,6061,Oliver Colvile,Conservative,"Plymouth, Sutton and Devonport",1518,2010,34.3,1149,Conservative,104
24899,6005,Mark Reckless,Conservative,Rochester and Strood,1521,2010,49.2,9953,Labour,9
11816,5844,Philip Davies,Conservative,Shipley,1284,2005,48.6,9944,Labour,8
24900,11981,Simon Kirby,Conservative,"Brighton, Kemptown",763,2010,38,1328,Conservative,45
10506,4472,Geoffrey Robinson,Labour,Coventry North West,847,1976,42.8,6288,Conservative,213
10468,4006,Richard Ottaway,Conservative,Croydon South,858,1983,50.9,15818,Liberal Democrat,192
10559,4915,Caroline Spelman,Conservative,Meriden,1118,1997,51.7,16253,Labour,71
24901,12796,Steve Brine,Conservative,Winchester,1439,2010,48.5,3048,Conservative,124
10062,556,Graham Brady,Conservative,Altrincham and Sale West,671,1997,49,11595,Labour,91
11651,6169,Lee Scott,Conservative,Ilford North,1040,2005,45.7,5404,Labour,28
24902,12674,Alok Sharma,Conservative,Reading West,1238,2010,43.2,6004,Conservative,107
24903,12357,Richard Drax,Conservative,South Dorset,1296,2010,45.1,7443,Conservative,34
24904,9401,Peter Aldous,Conservative,Waveney,1410,2010,40.2,769,Conservative,117
11087,7228,Khalid Mahmood,Labour,"Birmingham, Perry Barr",720,2001,50.3,11908,Liberal Democrat,128
10489,4266,Dawn Primarolo,Labour,Bristol South,767,1987,38.5,4734,Conservative,216
10555,4889,Nicholas Soames,Conservative,Mid Sussex,1125,1983,50.7,7402,Liberal Democrat,41
24905,12030,Bill Esterson,Labour,Sefton Central,1526,2010,41.9,3862,Conservative,118
11128,6458,Meg Munn,Labour,"Sheffield, Heeley",1281,2001,42.6,5807,Conservative,319
10084,786,Vincent Cable,Liberal Democrat,Twickenham,1383,1997,54.4,12140,Conservative,190
24907,11513,Bob Stewart,Conservative,Beckenham,698,2010,57.9,17784,Liberal Democrat,370
10147,1224,Jim Cunningham,Labour,Coventry South,848,1992,41.8,3845,Conservative,148
24909,12690,Mark Spencer,Conservative,Sherwood,1283,2010,39.2,214,Conservative,157
11667,8760,Rosie Cooper,Labour,West Lancashire,1426,2005,45.1,4343,Conservative,141
24910,11755,Caroline Lucas,Green,"Brighton, Pavilion",764,2010,31.3,1252,Green Party,1
10857,1419,Nigel Dodds,DUP,Belfast North,701,2001,40,2224,Sinn Fein,4
24911,12677,Zac Goldsmith,Conservative,Richmond Park,1246,2010,49.7,4091,Conservative,65
10281,2450,Margaret Hodge,Labour,Barking,685,1994,54.3,16555,British National Party,1
11377,10378,Nick Herbert,Conservative,Arundel and South Downs,677,2005,57.8,16691,Liberal Democrat,194
10439,3705,Michael Moore,Liberal Democrat,"Berwickshire, Roxburgh and Selkirk",1260,1997,45.4,5675,Conservative,126
10231,1957,Roger Godsiff,Labour,"Birmingham, Hall Green",716,1992,32.9,3799,Liberal Democrat,81
24913,11980,Mary Macleod,Conservative,Brentford and Isleworth,756,2010,37.2,1958,Conservative,75
13736,11121,Bob Neill,Conservative,Bromley and Chislehurst,769,2006,53.5,13900,Liberal Democrat,65
10260,2223,Harriet Harman,Labour,Camberwell and Peckham,784,1982,59.2,17187,UK Independence Party,156
24914,12350,Mel Stride,Conservative,Central Devon,1489,2010,51.5,9230,Liberal Democrat,16
11610,9245,Greg Hands,Conservative,Chelsea and Fulham,1483,2005,60.5,16722,Labour,201
10005,36,Bob Ainsworth,Labour,Coventry North East,846,1992,49.3,11775,Liberal Democrat,307
10633,5515,Malcolm Wicks,Labour,Croydon North,855,1992,56,16483,Liberal Democrat,286
24915,12349,Claire Perry,Conservative,Devizes,872,2010,55.1,13005,Liberal Democrat,116
10770,6031,Alistair Burt,Conservative,North East Bedfordshire,1170,1983,55.8,18942,Liberal Democrat,171
24916,11998,Stephen Barclay,Conservative,North East Cambridgeshire,1171,2010,51.4,16425,Labour,79
24917,14231,Pat Glass,Labour,North West Durham,891,2010,42.3,7612,Conservative,277
10470,4034,James Paice,Conservative,South East Cambridgeshire,1298,1987,48,5946,Liberal Democrat,77
24918,13987,Gemma Doyle,Labour,West Dunbartonshire,884,2010,61.3,17408,Liberal Democrat,345
24919,11735,Ian Mearns,Labour,Gateshead,1495,2010,54.1,12549,Liberal Democrat,532
24920,12561,Rehman Chishti,Conservative,Gillingham and Rainham,1496,2010,46.2,8680,Conservative,1
24921,12567,Richard Graham,Conservative,Gloucester,972,2010,39.9,2420,Conservative,125
10594,5151,Gareth Thomas,Labour,Harrow West,1004,1997,43.6,3143,Conservative,181
10604,5242,Jon Trickett,Labour,Hemsworth,1012,1996,46.8,9844,Liberal Democrat,405
11308,6154,Angela Watkinson,Conservative,Hornchurch and Upminster,1501,2001,51.5,16371,Labour,82
10423,3429,Francis Maude,Conservative,Horsham,1029,1983,52.7,11460,Liberal Democrat,159
24922,12608,Ben Gummer,Conservative,Ipswich,1044,2010,39.1,2079,Conservative,114
24923,9243,Kris Hopkins,Conservative,Keighley,1050,2010,41.9,2940,Conservative,99
24924,11813,Luciana Berger,Labour,"Liverpool, Wavertree",1095,2010,53.1,7167,Liberal Democrat,30
10611,11814,Stephen Twigg,Labour,"Liverpool, West Derby",1096,1997,64.1,18467,UK Independence Party,186
11696,9285,Philip Dunne,Conservative,Ludlow,1101,2005,52.8,9749,Liberal Democrat,13
10267,2332,Oliver Heald,Conservative,North East Hertfordshire,1175,1992,53.5,15194,Labour,112
10659,5721,George Young,Conservative,North West Hampshire,1187,1974,58.3,18583,Labour,135
11633,5792,David Gauke,Conservative,South West Hertfordshire,1313,2005,54.2,14920,Liberal Democrat,93
10373,3228,Peter Luff,Conservative,Mid Worcestershire,1127,1992,54.5,15864,Liberal Democrat,186
24926,12693,Jacob Rees-Mogg,Conservative,North East Somerset,1531,2010,41.3,4914,Labour,5
24927,12081,Mary Glindon,Labour,North Tyneside,1184,2010,50.7,12884,Conservative,302
10427,3566,Michael Meacher,Labour,Oldham West and Royton,1208,1970,45.5,9352,Conservative,182
10258,2175,Mike Hancock,Liberal Democrat,Portsmouth South,1230,1984,45.9,5200,Conservative,70
24928,11643,Stephen Gilbert,Liberal Democrat,St Austell and Newquay,1532,2010,42.7,1312,Conservative,121
24929,14315,Jonathan Reynolds,Labour,Stalybridge and Hyde,1330,2010,39.6,2744,Conservative,235
24930,12766,James Wharton,Conservative,Stockton South,1336,2010,38.9,332,Conservative,133
10095,10417,William Cash,Conservative,Stone,1340,1984,50.6,13292,Labour,104
10660,4331,John Randall,Conservative,Uxbridge and South Ruislip,1539,1997,48.3,11216,Liberal Democrat,94
10319,2777,Helen Jones,Labour,Warrington North,1406,1997,45.5,6771,Liberal Democrat,255
24932,12140,David Mowat,Conservative,Warrington South,1407,2010,35.8,1553,Conservative,86
10961,6306,David Heyes,Labour,Ashton-under-Lyne,680,2001,48.4,9094,Liberal Democrat,486
10298,2594,Simon Hughes,Liberal Democrat,Bermondsey and Old Southwark,1475,1983,48.4,8530,Labour,77
10576,5043,Graham Stringer,Labour,Blackley and Broughton,1476,1997,54.3,12303,Conservative,371
24933,11995,George Eustice,Conservative,Camborne and Redruth,1482,2010,37.6,66,Labour,39
11500,9175,Theresa Villiers,Conservative,Chipping Barnet,818,2005,48.8,11927,Labour,53
11531,8702,Andrew Gwynne,Labour,Denton and Reddish,869,2005,51,9831,Liberal Democrat,331
10371,3203,Tim Loughton,Conservative,East Worthing and Shoreham,907,1997,48.5,11105,Liberal Democrat,50
24934,11041,Mike Freer,Conservative,Finchley and Golders Green,944,2010,46,5809,Labour,6
11607,8736,Linda Riordan,Labour,Halifax,990,2005,37.4,1472,Conservative,80
10171,1413,Frank Dobson,Labour,Holborn and St Pancras,1024,1979,46.1,9942,Liberal Democrat,113
11641,8996,Lynne Featherstone,Liberal Democrat,Hornsey and Wood Green,1028,2005,46.5,6875,Labour,33
24935,14301,Steve Rotheram,Labour,"Liverpool, Walton",1094,2010,72,19818,UK Independence Party,311
24936,9410,George Hollingbery,Conservative,Meon Valley,1509,2010,56.2,12125,Liberal Democrat,15
10131,1109,Yvette Cooper,Labour,"Normanton, Pontefract and Castleford",1514,1997,48.2,10979,Liberal Democrat,530
11513,6807,Dan Rogerson,Liberal Democrat,North Cornwall,1166,2005,48.1,2981,Conservative,63
10726,350,Henry Bellingham,Conservative,North West Norfolk,1189,1983,54.2,14810,Labour,101
10785,6829,Alistair Carmichael,Liberal Democrat,Orkney and Shetland,1209,2001,62,9928,Scottish National Party,15
11814,11088,Angela Smith,Labour,Penistone and Stocksbridge,1516,2005,31,3049,Conservative,146
24938,9333,Penny Mordaunt,Conservative,Portsmouth North,1229,2010,44.3,7289,Conservative,8
11773,9336,Rob Wilson,Conservative,Reading East,1237,2005,42.6,7605,Labour,16
11792,9347,Nick Hurd,Conservative,"Ruislip, Northwood and Pinner",1524,2005,57.5,19060,Labour,207
11812,8485,Nicholas Clegg,Liberal Democrat,"Sheffield, Hallam",1280,2005,53.4,15284,Conservative,159
10402,3291,Fiona Mactaggart,Labour,Slough,1290,1997,45.8,5523,Conservative,198
24941,9162,Elizabeth Truss,Conservative,South West Norfolk,1314,2010,48.3,13140,Labour,67
10678,2999,David Lammy,Labour,Tottenham,1378,2000,59.3,16931,Conservative,331
24942,6874,Tessa Munt,Liberal Democrat,Wells,1414,2010,44,800,Liberal Democrat,19
10219,1867,Mike Gapes,Labour,Ilford South,1041,1992,49.4,11287,Conservative,214
24943,12032,Paul Blomfield,Labour,Sheffield Central,1279,2010,41.3,165,Liberal Democrat,70
24944,11993,Craig Whittaker,Conservative,Calder Valley,783,2010,39.4,6431,Conservative,24
24945,9149,Bob Blackman,Conservative,Harrow East,1003,2010,44.7,3403,Conservative,64
10057,518,Peter Bottomley,Conservative,Worthing West,1456,1975,51.7,11729,Liberal Democrat,137
24946,6571,David Ward,Liberal Democrat,Bradford East,1478,2010,33.7,365,Liberal Democrat,59
10579,5068,Gerry Sutcliffe,Labour,Bradford South,749,1994,41.3,4622,Conservative,240
10180,1495,Iain Duncan Smith,Conservative,Chingford and Woodford Green,817,1992,52.8,12963,Labour,183
10828,11481,Jon Cruddas,Labour,Dagenham and Rainham,1486,2001,40.3,2630,Conservative,155
