Session,BillURL,DateAccessed,BillName,BillType,BillCat,UKPB_Bill,UKPB_Act,RoyalAssent,RoyalAssentDate,LastChange,Stage,NumberofStages,FirstStageDate,LastStageDate,FirsStageName,LastStageName,Sponsor1,Sponsor2,Sponsor1Inst,Sponsor2Inst,Agent,Promoter,LatestStg-BillPage,LatestStgDate-Billpage,NextStg-Billpage,NextStgDate-Billpage,BillTxtLnk1,BillTxtLnk2,BillTxtDate,BillTxtTitle,LatestNews,Summary,mpnameuseful,mpid_twfy,mpid_grdn,mpparty,mpmajority,mpentered,mpyearentered,mpconstituency,constid_grdn,mpmatch,NumParagraphsTotal,NumParagraphsBody,NumParagraphsSchedules,LegGovUkLink,DocYear,DocMainType,DocEnactmentDate,DocCat,ActNameLGUK
2013-14,http://services.parliament.uk//bills/2013-14/marriedcouplestaxallowance.html,20140413_170732,Married Couples (Tax Allowance) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,22.11.2013,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Peter Bone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\n'       u'\n',Peter Bone,11915,6172,Conservative,11787,2005-05-05,2005,Wellingborough,1413,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/medicalinnovationno2.html,20140413_170732,Medical Innovation (No. 2) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,25.11.2013,Commons,2,11.09.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Michael Ellis,NA,,NA,NA,NA,1st reading: House of Commons,11.09.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0107/cbill_2013-20140107_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0107/140107.pdf,12.09.2013,Bill 107 2013-14 (as introduced),, u'\n'       u'\n',Michael Ellis,24866,12733,Conservative,1936,2010-05-06,2010,Northampton North,1192,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/medicalinnovation.html,20140413_170732,Medical Innovation Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,16.05.2013,Lords,1,15.05.2013,15.05.2013,1st reading: House of Lords,1st reading: House of Lords,Lord Saatchi,NA,,NA,NA,NA,1st reading: House of Lords,15.05.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0021/lbill_2013-20140021_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0021/2014021.pdf,16.05.2013,HL Bill 021  2013-14 (as introduced),, u'\r\n            A Bill to make provision about innovation in medical treatment.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/medicinallabelling.html,20140413_170732,Medicinal Labelling Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,28.10.2013,Lords,2,13.05.2013,25.10.2013,1st reading: House of Lords,2nd reading: House of Lords,Lord Winston,NA,,NA,NA,NA,2nd reading: House of Lords,25.10.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0011/lbill_2013-20140011_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0011/14011.pdf,14.05.2013,"HL Bill 11 2013-2014, as introduced",," u""\r\n            A Bill to require the declaration relating to animal research to be placed on medicinal products' labels.\r\n           \r\n        """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/mentalhealthoutcomesmeasurement.html,20140413_170732,Mental Health Outcomes (Measurement)  Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,07.02.2014,Commons,2,17.12.2013,16.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Mr Robert Buckland,NA,,NA,NA,NA,1st reading: House of Commons,17.12.2013,2nd reading: House of Commons,16.05.2014,NA,NA,NA,NA,, u'\r\n            A Bill to require the Secretary of State to record certain statistics relating to people receiving treatments for mental health conditions; and for connected purposes.\r\n           \r\n        ',Robert Buckland,24843,9356,Conservative,3544,2010-05-06,2010,South Swindon,1308,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/mesotheliomaamendment.html,20140413_170732,Mesothelioma (Amendment) Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,29.01.2014,Lords,1,21.01.2014,21.01.2014,1st reading: House of Lords,1st reading: House of Lords,Lord Alton of Liverpool,NA,,NA,NA,NA,1st reading: House of Lords,21.01.2014,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0077/lbill_2013-20140077_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0077/14077.pdf,27.01.2014,HL Bill 77 2013-14 (as introduced),First reading took place on 21 January. This stage is a formality that signals the start of the Bill's journey through the Lords., u'\r\n            A bill to amend the Mesothelioma Act 2014\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/mesothelioma.html,20140413_170732,Mesothelioma Act 2014,Government Bill,G,Yes,Yes,Yes,30.01.2014,31.01.2014,Royal Assent,18,09.05.2013,30.01.2014,1st reading: House of Lords,Royal Assent,Lord Freud,Iain Duncan Smith,Department for Work and Pensions,,NA,NA,Royal Assent,30.01.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/1/contents/enacted/data.htm,NA,05.02.2014,Mesothelioma Act 2014 c.1,, u'\n'         u'\n',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,21,29,http://www.legislation.gov.uk/ukpga/2014/1/contents/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-01-30,primary,Mesothelioma Act 2014
2013-14,http://services.parliament.uk//bills/2013-14/mutualsredeemableshares.html,20140413_170732,Mutuals’ Redeemable Shares Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,23.07.2013,Lords,1,22.07.2013,22.07.2013,1st reading: House of Lords,1st reading: House of Lords,Lord Naseby,NA,,NA,NA,NA,1st reading: House of Lords,22.07.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0043/lbill_2013-20140043_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0043/140043.pdf,23.07.2013,HL Bill 43 2013-14 as introduced,, u'\r\n            A Bill to enable the law relating to societies registered under the Industrial and Provident Societies Act 1965 or the Friendly Societies Act 1992 and certain mutual insurers to be amended to permit and facilitate the use of a new and additional class of redeemable share capital; to provide consequential rights to members of such societies or insurers; and to restrict the voting rights of certain members who hold such shares.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/nationalhealthserviceamendeddutiesandpowers.html,20140413_170732,National Health Service (Amended Duties and Powers)  Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,17.05.2013,Lords,1,16.05.2013,16.05.2013,1st reading: House of Lords,1st reading: House of Lords,Lord Owen,NA,,NA,NA,NA,1st reading: House of Lords,16.05.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0026/lbill_2013-20140026_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0026/14026.pdf,17.05.2013,"HL Bill 26  2013-2014, as introduced",First reading took place on 16 May. This stage is a formality that signals the start of the Bill's journey through the Lords.," u""\r\n            A Bill to re-establish the Secretary of State's legal duty as to the National Health Service in England, Quangos and related bodies\r\n           \r\n        """,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/nationalhealthservicerighttotreatment.html,20140413_170732,National Health Service (Right to Treatment) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,09.04.2014,Commons,2,08.04.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Hugh Bayley,NA,,NA,NA,NA,1st reading: House of Commons,08.04.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to ensure that medical treatment prescribed as necessary by a doctor or other medical professional must be provided unless the type of treatment is not approved by the Secretary of State or the National Institute for Health and Care Excellence; to establish a national register of cases where such prescribed treatment is refused; to introduce a mechanism for appeal against decisions about provision of medical treatments; and for connected purposes.\r\n           \r\n        ',Hugh Bayley,10029,300,Labour,6451,1992-04-09,1992,York Central,1546,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/nationalinsurancerenaming.html,20140413_170732,National Insurance (Renaming) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,06.03.2014,Commons,2,25.02.2014,20.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Ben Gummer,NA,,NA,NA,NA,1st reading: House of Commons,25.02.2014,2nd reading: House of Commons,20.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to make provision for National Insurance to be known as Earnings Tax; and for connected purposes.\r\n           \r\n        ',Ben Gummer,24922,12608,Conservative,2079,2010-05-06,2010,Ipswich,1044,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/nationalinsurancecontributions.html,20140413_170732,National Insurance Contributions  Act 2014,Government Bill,G,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,15,14.10.2013,13.03.2014,1st reading: House of Commons,Royal Assent,George Osborne,Lord Deighton,HM Treasury,HM Treasury,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/7/contents/enacted/data.htm,NA,13.03.2014,National Insurance Contributions Act 2014 c.7,, u'\r\n            To make provision in relation to national insurance contributions; and for connected purposes.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,27,23,http://www.legislation.gov.uk/ukpga/2014/7/contents/enacted/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,National Insurance Contributions Act 2014
2013-14,http://services.parliament.uk//bills/2013-14/nationalparksgovernance.html,20140413_170732,National Parks (Governance) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,03.04.2014,Commons,2,01.04.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Tim Farron,NA,,NA,NA,NA,1st reading: House of Commons,01.04.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,, u'\r\n            A Bill to give powers to the Secretary of State to provide for elections to be held to the governing boards of National Parks on a pilot basis; and for connected purposes.\r\n           \r\n        ',Tim Farron,11923,1667,Liberal Democrat,12264,2005-05-05,2005,Westmorland and Lonsdale,1435,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/nationalservice.html,20140413_170732,National Service Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,06.03.2014,Commons,2,24.06.2013,16.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,16.05.2014,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0032/cbill_2013-20140032_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0032/14032.pdf,05.09.2013,"Bill 32 2013-2014, as introduced",, u'\r\n            A Bill to provide a system of national service for young persons; and for connected purposes.\r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/northernirelandmiscellaneousprovisions.html,20140413_170732,Northern Ireland (Miscellaneous Provisions) Act 2014,Government Bill,G,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,17,09.05.2013,13.03.2014,1st reading: House of Commons,Royal Assent,Mrs Theresa Villiers,Baroness Randerson,Northern Ireland Office,Northern Ireland Office,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/13/contents/enacted/data.htm,NA,13.03.2014,Northern Ireland (Miscellaneous Provisions) Act 2014 c.13,," u'\r\n            To make provision about donations, loans and related transactions for\r\npolitical purposes in connection with Northern Ireland; to amend the\r\nNorthern Ireland Assembly Disqualification Act 1975 and the Northern Ireland Act 1998; to make provision about the registration of electors and the administration of elections in Northern Ireland; and to make miscellaneous amendments in the law relating to Northern Ireland.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,41,9,http://www.legislation.gov.uk/ukpga/2014/13/contents/enacted/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,Northern Ireland (Miscellaneous Provisions) Act 2014
2013-14,http://services.parliament.uk//bills/2013-14/offenderrehabilitation.html,20140413_170732,Offender Rehabilitation Act 2014,Government Bill,G,Yes,Yes,Yes,13.03.2014,14.03.2014,Royal Assent,20,09.05.2013,13.03.2014,1st reading: House of Lords,Royal Assent,Lord McNally,Chris Grayling,Ministry of Justice,Ministry of Justice,NA,NA,Royal Assent,13.03.2014,NA,NA,http://www.legislation.gov.uk/ukpga/2014/11/contents/enacted/data.htm,NA,13.03.2014,Offender Rehabilitation Act 2014 c.11,," u'\r\n            A Bill to make provision about the release, and supervision after release, of offenders, to make provision about the extension period for extended sentence prisoners, to make provision about community orders and suspended sentence orders, and for connected purposes.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,39,97,http://www.legislation.gov.uk/ukpga/2014/11/contents/enacted/data.xml,2014,UnitedKingdomPublicGeneralAct,2014-03-13,primary,Offender Rehabilitation Act 2014
2013-14,http://services.parliament.uk//bills/2013-14/officeofthedeputyprimeministerabolition.html,20140413_170732,Office of the Deputy Prime Minister (Abolition) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,07.02.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Peter Bone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,," u'\r\n            A Bill to make provision for the abolition of the Office of the Deputy Prime Minister, and its responsibilities to be allocated to other Departments of State.\r\n           \r\n        '",Peter Bone,11915,6172,Conservative,11787,2005-05-05,2005,Wellingborough,1413,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/onlinesafety.html,20140413_170732,Online Safety Bill [HL],Private Members' Bill (Starting in the House of Lords),PMB-L,Yes,No,No,NA,09.12.2013,Lords,2,14.05.2013,06.12.2013,1st reading: House of Lords,2nd reading: House of Lords,Baroness Howe of Idlicote,NA,,NA,NA,NA,2nd reading: House of Lords,06.12.2013,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0019/lbill_2013-20140019_en_1.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0019/14019.pdf,15.05.2013,"HL Bill 19  2013-2014, as introduced",," u'\r\n            A Bill to make provision about the promotion of online safety, to require internet service providers and mobile phone operators to provide a service that excludes adult content, to require electronic device manufacturers to provide a means of filtering content, and for parents to be educated about online safety.\r\n           \r\n        '",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/parentalbereavementleavestatutoryentitlement.html,20140413_170732,Parental Bereavement Leave (Statutory Entitlement) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,11.02.2014,Commons,2,04.09.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Tom Harris,NA,,NA,NA,NA,1st reading: House of Commons,04.09.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to make provision for statutory entitlement to leave of absence from employment for bereaved parents; and for connected purposes.\r\n           \r\n        ',Tom Harris,10941,6371,Labour,12658,2001-06-07,2001,Glasgow South,960,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/pensions.html,20140413_170732,Pensions Bill,Government Bill,G,Yes,No,No,NA,09.04.2014,Lords,35,09.05.2013,08.04.2014,1st reading: House of Commons,Ping Pong: House of Lords,Mr Iain Duncan Smith,Lord Freud,Department for Work & Pensions,Department for Work & Pensions,NA,NA,Ping Pong: House of Lords,08.04.2014,NA,NA,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0095/14095.htm,http://www.publications.parliament.uk/pa/bills/lbill/2013-2014/0095/14095.pdf,18.03.2014,"HL Bill 95 2013-14, Commons Disagreement and Reason",, u'\r\n            A Bill to make provision about pensions and about benefits payable to people in connection with bereavement; and for connected purposes.\r\n           \r\n        ',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/permitteddevelopmentbasements.html,20140413_170732,Permitted Development (Basements) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,07.02.2014,Commons,2,12.11.2013,16.05.2014,1st reading: House of Commons,2nd reading: House of Commons,Ms Karen Buck,NA,,NA,NA,NA,1st reading: House of Commons,12.11.2013,2nd reading: House of Commons,16.05.2014,NA,NA,NA,NA,, u'\r\n            A Bill to regulate the construction of new basements and extensions to basements; and for connected purposes.\r\n           \r\n        ',Karen Buck,10075,697,Labour,2126,1997-05-01,1997,Westminster North,1434,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/planningregulationsremovalofprovisionsinrespectofgypsiesandtravellers.html,20140413_170732,Planning Regulations (Removal of Provisions in Respect of Gypsies and Travellers) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,12.02.2014,Commons,2,09.07.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,09.07.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0087/cbill_2013-20140087_en_2.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0087/14087.pdf,06.11.2013,"Bill 87 2013-2014, as introduced",, u'\r\n            A Bill to make provision for the removal of provisions in planning regulations relating to Gypsies and Travellers.\r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/primeministerreplacement.html,20140413_170732,Prime Minister (Replacement) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,03.03.2014,Commons,3,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Peter Bone,NA,,NA,NA,NA,2nd reading: House of Commons,29.11.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0059/cbill_2013-20140059_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0059/14059.pdf,27.11.2013,"Bill 59 2013-2014, as introduced",, u'\r\n            A Bill to make provision for appointment of a Prime Minister in the event that a Prime Minister is temporarily or permanently incapacitated.\r\n           \r\n        ',Peter Bone,11915,6172,Conservative,11787,2005-05-05,2005,Wellingborough,1413,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/prisonerscompletionofcustodialsentences.html,20140413_170732,Prisoners (Completion of Custodial Sentences) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,12.02.2014,Commons,2,24.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr Philip Hollobone,NA,,NA,NA,NA,1st reading: House of Commons,24.06.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to require prisoners to serve in prison the full custodial sentence handed down by the court.\r\n           \r\n        ',Philip Hollobone,11661,5964,Conservative,9094,2005-05-05,2005,Kettering,1053,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/prisonsdrugtesting.html,20140413_170732,Prisons (Drug Testing) Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,26.03.2014,Commons,2,19.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Margot James,NA,,NA,NA,NA,1st reading: House of Commons,19.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0027/cbill_2013-20140027_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0027/14027.pdf,03.09.2013,"Bill 27 2013-2014, as introduced",, u'\r\n            A Bill to make provision about the drugs for which persons detained in prisons and similar institutions may be tested.\r\n           \r\n        ',Margot James,24876,9254,Conservative,5164,2010-05-06,2010,Stourbridge,1341,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/privatelandlordsandlettingandmanagingagentsregulation.html,20140413_170732,Private Landlords and Letting and Managing Agents (Regulation) Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,06.02.2014,Commons,3,19.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Sir Alan Meale,NA,,NA,NA,NA,2nd reading: House of Commons,25.10.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0016/cbill_2013-20140016_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0016/14016.pdf,24.10.2013,"Bill 16 2013-2014, as introduced",, u'\r\n            A Bill to establish a mandatory national register of private landlords; to introduce regulation of private sector letting agents and managing agents; to establish a body to administer the national register and to monitor compliance with regulations applying to letting agents and managing agents; to require all tenancy agreements entered into with private landlords to take the form of written agreements; and for connected purposes.\r\n           \r\n        ',Alan Meale,10428,3580,Labour,6012,1987-06-11,1987,Mansfield,1115,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/privaterentedsector.html,20140413_170732,Private Rented Sector Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,13.03.2014,Commons,2,12.03.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Dr Julian Huppert,NA,,NA,NA,NA,1st reading: House of Commons,12.03.2014,2nd reading: House of Commons,06.06.2014,NA,NA,NA,NA,," u'\r\n            A Bill to prevent the charging by letting agents of above\u2013cost fees; to provide that the Consumers, Estate Agents and Redress Act 2007 and Estate Agents Act 1979 apply to letting agencies; to facilitate the establishment by councils of landlord and property accreditation schemes; to establish a housing ombudsman service for tenants in the private rented sector; to require the Secretary of State to undertake a review of the legislation applying to the private rented sector; and for connected purposes.\r\n           \r\n        '",Julian Huppert,24892,9001,Liberal Democrat,6792,2010-05-06,2010,Cambridge,785,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/propertyblightcompensation.html,20140413_170732,Property Blight Compensation Bill,Private Members' Bill (Ballot Bill),PMB-C,Yes,No,No,NA,06.02.2014,Commons,2,19.06.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mrs Caroline Spelman,NA,,NA,NA,NA,1st reading: House of Commons,19.06.2013,2nd reading: House of Commons,Date to be announced,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0025/cbill_2013-20140025_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0025/14025.pdf,15.10.2013,"Bill 25 2013-2014, as introduced",, u'\r\n            A Bill to require the Secretary of State to amend legislation to improve the system of compensation for property blight caused by major national infrastructure projects; and for connected purposes.\r\n           \r\n        ',Caroline Spelman,10559,4915,Conservative,16253,1997-05-01,1997,Meriden,1118,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/publicinterestdisclosureamendment.html,20140413_170732,Public Interest Disclosure (Amendment) Bill,"Private Members' Bill (under the Ten Minute Rule, SO No 23)",PMB-C,Yes,No,No,NA,06.02.2014,Commons,2,19.11.2013,Date to be announced,1st reading: House of Commons,2nd reading: House of Commons,Mr David Davis,NA,,NA,NA,NA,1st reading: House of Commons,19.11.2013,2nd reading: House of Commons,Date to be announced,NA,NA,NA,NA,, u'\r\n            A Bill to amend the Employment Rights Act 1996 to provide that disclosures of information about malpractice to a Member of Parliament where the disclosure is in the public interest be included as protected disclosures; and for connected purposes.\r\n           \r\n        ',David Davis,10162,1329,Conservative,11602,1987-06-11,1987,Haltemprice and Howden,991,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/publicservicesownershipanduserinvolvement.html,20140413_170732,Public Services (Ownership and User Involvement) Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,28.02.2014,Commons,2,22.01.2014,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Caroline Lucas,NA,,NA,NA,NA,1st reading: House of Commons,22.01.2014,2nd reading: House of Commons,06.06.2014,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0160/cbill_2013-20140160_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0160/14160.pdf,27.02.2014,"Bill 160 2013-2014, as introduced",," u'\r\n            A Bill to promote public ownership of public services; to introduce a presumption in favour of service provision by public sector and not-for-profit entities; and to put in place mechanisms to increase the accountability, transparency and public control of public services, including those operated by private companies.\r\n           \r\n        '",Caroline Lucas,24910,11755,Green,1252,2010-05-06,2010,"Brighton, Pavilion",764,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,http://services.parliament.uk//bills/2013-14/railways.html,20140413_170732,Railways Bill,Private Members' Bill (Presentation Bill),PMB-C,Yes,No,No,NA,28.02.2014,Commons,2,26.06.2013,06.06.2014,1st reading: House of Commons,2nd reading: House of Commons,Caroline Lucas,NA,,NA,NA,NA,1st reading: House of Commons,26.06.2013,2nd reading: House of Commons,06.06.2014,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0081/cbill_2013-20140081_en_1.htm,http://www.publications.parliament.uk/pa/bills/cbill/2013-2014/0081/14081.pdf,17.10.2013,"Bill 81  2013-2014, as introduced",, u'\r\n            A Bill to require the Secretary of State to assume control of passenger rail franchises when they come up for renewal; and for connected purposes.\r\n           \r\n        ',Caroline Lucas,24910,11755,Green,1252,2010-05-06,2010,"Brighton, Pavilion",764,OK,NA,NA,NA,NA,NA,NA,NA,NA,NA
